PERMNO,date,TICKER,PRC,SHROUT,Market Cap
10104,20161107,ORCL,39.09,4105645,160489663.1
10107,20161107,MSFT,60.42,7775351,469786707.4
10138,20161107,TROW,64.33,243433,15660044.89
10145,20161107,HON,111.25,762125,84786406.25
10299,20161107,LLTC,59.96,240358,14411865.68
10516,20161107,ADM,47.05,581763,27371949.15
10696,20161107,FISV,99.56,217057,21610194.92
10909,20161107,CERN,52.65,339496,17874464.4
11308,20161107,KO,42.46,4312959,183128239.1
11403,20161107,CDNS,25.44,286715,7294029.6
11404,20161107,ED,74.54,304415,22691094.1
11552,20161107,CELG,107.49,775203,83326570.47
11600,20161107,XRAY,61.12,230880,14111385.6
11618,20161107,FAST,40.61,289032,11737589.52
11674,20161107,DTE,95.29,179435,17098361.15
11703,20161107,DD,69.51,869342,60427962.42
11762,20161107,ETN,62.43,454700,28386921
11786,20161107,SIVB,124.24,52088,6471413.12
11850,20161107,XOM,85.45,4147000,354361150
11891,20161107,MGM,27.18,565614,15373388.52
11896,20161107,MXIM,39.79,283278,11271631.62
11955,20161107,WM,64.7,442003,28597594.1
12052,20161107,GD,152.39,304520,46405802.8
12060,20161107,GE,29.31,8961233,262653739.2
12062,20161107,LH,125.14,103000,12889420
12073,20161107,PBCT,16.73,311391,5209571.43
12076,20161107,SIG,83.63,75595,6322009.85
12308,20161107,CHTR,257.16,270665,69604211.4
12345,20161107,LYB,79.16,415722,32908553.52
12369,20161107,GM,32.02,1524344,48809494.88
12431,20161107,IR,70.72,258331,18269168.32
12448,20161107,FRC,74.76,145614,10886102.64
12449,20161107,FLT,147.99001,92574,13700027.19
12490,20161107,IBM,155.72,950855,148067140.6
12542,20161107,NLSN,44.65,357430,15959249.5
12558,20161107,KMI,20.17,2232364,45026781.88
12570,20161107,ITT,34,89600,3046400
12622,20161107,HCA,79.62,378646,30147794.52
12623,20161107,HII,148.94,46789,6968753.66
12650,20161107,KSU,91.5,107579,9843478.5
12872,20161107,MPC,42.6,527815,22484919
12981,20161107,FBHS,54.55,153902,8395354.1
13035,20161107,XYL,48.56,179182,8701077.92
13103,20161107,DLPH,69.15,272765,18861699.75
13141,20161107,WPX,11.74,344336,4042504.64
13142,20161107,KORS,50.3,164247,8261624.1
13168,20161107,TRIP,63.43,132901,8429910.43
13356,20161107,PSX,79.93,520850,41631540.5
13407,20161107,FB,122.15,2340825,285931773.8
