PERMNO,date,TICKER,PRC,SHROUT,Market Cap
10104,20141103,ORCL,38.99,4431304,172776543
10107,20141103,MSFT,47.44,8242853,391040946.3
10138,20141103,TROW,82.18,259388,21316505.84
10145,20141103,HON,95.66,782810,74883604.6
10299,20141103,LLTC,43.15,238532,10292655.8
10516,20141103,ADM,47.25,645521,30500867.25
10696,20141103,FISV,69.67,243966,16997111.22
10909,20141103,CERN,63.26,341472,21601518.72
11308,20141103,KO,41.81,4380113,183132524.5
11403,20141103,CDNS,18.17,292720,5318722.4
11404,20141103,ED,63.6,292885,18627486
11552,20141103,CELG,107.41,798704,85788796.64
11600,20141103,XRAY,50.71,141530,7176986.3
11618,20141103,FAST,44.01,296441,13046368.41
11674,20141103,DTE,82.8,176991,14654854.8
11703,20141103,DD,68.88,905947,62401629.36
11762,20141103,ETN,68.43,474600,32476878
11786,20141103,SIVB,111.73,50849,5681358.77
11850,20141103,XOM,95.26,4264692,406254559.9
11891,20141103,MGM,23.02,490890,11300287.8
11896,20141103,MXIM,29.54,282921,8357486.34
11955,20141103,WM,48.61,457921,22259539.81
12052,20141103,GD,139.72,331390,46301810.8
12060,20141103,GE,25.7,10033904,257871332.8
12062,20141103,LH,101.23,84900,8594427
12073,20141103,PBCT,14.53,307970,4474804.1
12076,20141103,SIG,119.65,80215,9597724.75
12308,20141103,CHTR,161.69,109268,17667542.92
12345,20141103,LYB,89.22,500668,44669598.96
12369,20141103,GM,31.18,1606696,50096781.28
12431,20141103,IR,61.81,265472,16408824.32
12448,20141103,FRC,50.59,138068,6984860.12
12449,20141103,FLT,150.23,83810,12590776.3
12490,20141103,IBM,164.36,989660,162660517.6
12542,20141103,NLSN,42.19,381074,16077512.06
12558,20141103,KMI,38.5,1028230,39586855
12570,20141103,ITT,44.11,91600,4040476
12622,20141103,HCA,70.23,432385,30366398.55
12623,20141103,HII,105.24,48566,5111085.84
12650,20141103,KSU,121.54,110360,13413154.4
12872,20141103,MPC,91.62,281000,25745220
12981,20141103,FBHS,43.27,157768,6826621.36
13035,20141103,XYL,36.04,181875,6554775
13103,20141103,DLPH,69.09,296079,20456098.11
13141,20141103,WPX,19.01,202923,3857566.23
13142,20141103,KORS,77.99,205447,16022811.53
13168,20141103,TRIP,85.21,130124,11087866.04
13356,20141103,PSX,76.68,553513,42443376.84
13407,20141103,FB,73.88,2223936,164304391.7
13447,20141103,NOW,66.21,145700,9646797
13584,20141103,SUN,45.41,23037,1046110.17
13586,20141103,PNR,66.73,186794,12464763.62
13641,20141103,FANG,67.39,56753,3824584.67
13688,20141103,PCG,50.94,475088,24200982.72
13721,20141103,ABBV,63.25,1591699,100674961.8
13760,20141103,NCLH,39.07,203302,7943009.14
13788,20141103,ZTS,37.72,501193,18904999.96
13856,20141103,PEP,95.83,1496606,143419753
13901,20141103,MO,48.92,1976470,96688912.4
13911,20141103,Q,59.65,127800,7623270
13928,20141103,COP,70.56,1229568,86758318.08
13936,20141103,PVH,114.87,82393,9464483.91
13949,20141103,CDW,31.06,172100,5345426
13963,20141103,NWSA,15.56,380446,5919739.76
13964,20141103,NWS,15.1,199630,3014413
13983,20141103,COTY,17.11,91198,1560397.78
14008,20141103,AMGN,161.56,760670,122893845.2
14011,20141103,MNK,93.43,117189,10948968.27
14040,20141103,S,6.2,3945493,24462056.6
14213,20141103,MMI,31.79,36624,1164276.96
14277,20141103,SLB,96.52,1286794,124201356.9
14295,20141103,TWTR,40.21,615232,24738478.72
14297,20141103,ALLE,53.43,95729,5114800.47
14338,20141103,HLT,25.25,984617,24861579.25
14541,20141103,CVX,116.78,1898932,221757279
14542,20141103,GOOG,555.21997,339339,188407789.4
14579,20141103,PAYC,17.68,51041,902404.88
14593,20141103,AAPL,109.4,5864840,641613496
14601,20141103,NAVI,20,410219,8204380
14702,20141103,AMAT,22.21,1221000,27118410
14704,20141103,MRKT,24.61,178868,4401941.48
14714,20141103,ANET,85.69,64404,5518778.76
14776,20141103,SYF,27.34,833765,22795135.1
14889,20141103,CFG,24,559998,13439952
14939,20141103,KEYS,31.15,166757,5194480.55
15069,20141103,MRO,34.57,674484,23316911.88
15202,20141103,VMC,62.4,130910,8168784
15456,20141103,FL,56.17,143714,8072415.38
15579,20141103,TXN,50.08,1056300,52899504
15720,20141103,EIX,63.24,325811,20604287.64
16432,20141103,GT,24.51,274563,6729539.13
16600,20141103,HSY,96.33,160250,15436882.5
16678,20141103,KR,56.44,491091,27717176.04
