PERMNO,date,TICKER,PRC,SHROUT,Market Cap
10104,20121105,ORCL,31.25,4819056,150595500
10107,20121105,MSFT,29.63,8416462,249379769.1
10138,20121105,TROW,65.56,254865,16708949.4
10145,20121105,HON,62.8,783372,49195761.6
10299,20121105,LLTC,32.92,231393,7617457.56
10516,20121105,ADM,26.6,658626,17519451.6
10696,20121105,FISV,74.82,133473,9986449.86
10909,20121105,CERN,79.08,171564,13567281.12
11308,20121105,KO,36.77,4485162,164919406.7
11403,20121105,CDNS,12.83,280008,3592502.64
11404,20121105,ED,58,292892,16987736
11552,20121105,CELG,73.3,422987,31004947.1
11600,20121105,XRAY,38.84,141929,5512522.36
11618,20121105,FAST,43.19,296322,12798147.18
11674,20121105,DTE,60.39,172073,10391488.47
11703,20121105,DD,44.33,932471,41336439.43
11762,20121105,ETN,50.49,337900,17060571
11786,20121105,SIVB,56.1,44517,2497403.7
11850,20121105,XOM,90.63,4615939,418342551.6
11891,20121105,MGM,10.1,488942,4938314.2
11896,20121105,MXIM,28.72,291585,8374321.2
11955,20121105,WM,32.28,463899,14974659.72
12052,20121105,GD,68.37,353070,24139395.9
12060,20121105,GE,21.41,10558844,226064850
12062,20121105,LH,86.31,94600,8164926
12073,20121105,PBCT,11.94,347629,4150690.26
12076,20121105,SIG,53.05,80894,4291426.7
12308,20121105,CHTR,72.9358,101053,7370381.397
12345,20121105,LYB,53.41,575181,30720417.21
12369,20121105,GM,25.57,1565980,40042108.6
12431,20121105,IR,47.58,301002,14321675.16
12448,20121105,FRC,34.62,130532,4519017.84
12449,20121105,FLT,47.21,83631,3948219.51
12490,20121105,IBM,194.14,1129932,219364998.5
12542,20121105,NLSN,29.44,362170,10662284.8
12558,20121105,KMI,33.89,648525,21978512.25
12570,20121105,ITT,22.16,92400,2047584
12622,20121105,HCA,32.23,440653,14202246.19
12623,20121105,HII,44.01,49511,2178979.11
12650,20121105,KSU,81.38,110044,8955380.72
12872,20121105,MPC,54.76,338297,18525143.72
12981,20121105,FBHS,29.61,160699,4758297.39
13035,20121105,XYL,26,185594,4825444
13103,20121105,DLPH,32.2,322997,10400503.4
13141,20121105,WPX,16.03,199037,3190563.11
13142,20121105,KORS,56.49,199725,11282465.25
13168,20121105,TRIP,34.45,129544,4462790.8
13356,20121105,PSX,47.76,626923,29941842.48
13407,20121105,FB,21.25,949000,20166250
13447,20121105,NOW,32.28,123391,3983061.48
13584,20121105,SUSP,23.91,10939,261551.49
13586,20121105,PNR,45.54,210292,9576697.68
13641,20121105,FANG,16.71,35112,586721.52
13688,20121105,PCG,41.51,429984,17848635.84
13856,20121105,PEP,69,1546854,106732926
13901,20121105,MO,31.88,2025106,64560379.28
13928,20121105,COP,57.53,1213895,69835379.35
13936,20121105,PVH,111.37,70548,7856930.76
14008,20121105,AMGN,86.35,767355,66261104.25
14277,20121105,SLB,69.95,1327570,92863521.5
14541,20121105,CVX,109.19,1962140,214246066.6
14593,20121105,AAPL,584.62109,940692,549948382.4
14702,20121105,AMAT,11.09,1197000,13274730
15069,20121105,MRO,30.51,705432,21522730.32
15202,20121105,VMC,46.6,129393,6029713.8
15456,20121105,FL,34.42,151019,5198073.98
15579,20121105,TXN,29.47,1120803,33030064.41
15720,20121105,EIX,46.02,325811,14993822.22
16432,20121105,GT,11.66,244963,2856268.58
16600,20121105,HSY,69.11,165712,11452356.32
16678,20121105,KR,24.93,527590,13152818.7
17005,20121105,CVS,46.63,1272236,59324364.68
17144,20121105,GIS,39.77,645224,25660558.48
17478,20121105,MHP,52.24,280200,14637648
17743,20121105,WRB,38.54,137136,5285221.44
17750,20121105,KMB,83.13,392300,32611899
17830,20121105,UTX,77.9,916545,71398855.5
18163,20121105,PG,68.67,2734231,187759642.8
18403,20121105,JCP,23.35,219083,5115588.05
18411,20121105,SO,44.62,874797,39033442.14
18542,20121105,CAT,86.77,653269,56684151.13
18729,20121105,CL,105.23,472482,49719280.86
19166,20121105,FMC,54.82,137394,7531939.08
19350,20121105,DE,85.89,391667,33640278.63
19393,20121105,BMY,33.09,1650689,54621299.01
19502,20121105,WAG,34.08,944055,32173394.4
19561,20121105,BA,70.41,754077,53094561.57
20415,20121105,LUK,22.77,244583,5569154.91
20482,20121105,ABT,65.04,1569334,102069483.4
20626,20121105,DOW,30.06,1199232,36048913.92
21020,20121105,,,335227,0
21178,20121105,LMT,94.1,323587,30449536.7
21186,20121105,MWV,30.03,174801,5249274.03
21207,20121105,NEM,48.39,491248,23771490.72
21371,20121105,CAH,40.48,340521,13784290.08
21573,20121105,IP,35.37,437334,15468503.58
21776,20121105,EXC,32.01,853573,27322871.73
21792,20121105,CNP,21.37,427386,9133238.82
21936,20121105,PFE,24.58,7469484,183599916.7
22103,20121105,EMR,50.5,727324,36729862
22111,20121105,JNJ,70.79,2757041,195170932.4
22293,20121105,GLW,11.85,1477841,17512415.85
22509,20121105,PPG,121.78,153350,18674963
22517,20121105,PPL,28.78,580736,16713582.08
22592,20121105,MMM,89.6,691931,61997017.6
22752,20121105,MRK,45.67,3045632,139094013.4
22779,20121105,MSI,53.33,280500,14959065
23026,20121105,FE,42.55,418216,17795090.8
23085,20121105,SCG,47.91,131299,6290535.09
23229,20121105,CMS,23.59,265204,6256162.36
23393,20121105,CHD,51.86,139219,7219897.34
23473,20121105,CINF,39.23,162686,6382171.78
23536,20121105,WEC,37.36,230447,8609499.92
23579,20121105,TXT,25.18,281826,7096378.68
23660,20121105,CTAS,41.55,124903,5189719.65
23712,20121105,PEG,30.72,505895,15541094.4
23819,20121105,HAL,32.29,927987,29964700.23
23887,20121105,FTR,4.64,998445,4632784.8
23931,20121105,XEL,27.5,487620,13409550
24010,20121105,ETR,67.9,177319,12039960.1
24053,20121105,WR,29.11,126315,3677029.65
24109,20121105,AEP,43.49,485249,21103479.01
24205,20121105,NEE,69.61,423206,29459369.66
24328,20121105,EQT,61.25,149613,9163796.25
24459,20121105,PBI,12.7,200639,2548115.3
24643,20121105,AA,8.61,1067202,9188609.22
24766,20121105,NOC,68.96,245444,16925818.24
24942,20121105,RTN,56.45,329867,18620992.15
24985,20121105,AEE,32.25,242635,7824978.75
25081,20121105,CMA,29.99,190344,5708416.56
25232,20121105,OKE,45.35,204613,9279199.55
25320,20121105,CPB,35.03,313544,10983446.32
25419,20121105,WHR,98.16,77854,7642148.64
25582,20121105,HRS,48.38,113561,5494081.18
25778,20121105,CA,23.04,459287,10581972.48
25785,20121105,F,11.25,3743134,42110257.5
25953,20121105,DOV,60.82,179011,10887449.02
26403,20121105,DIS,50.32,1794275,90287918
26607,20121105,BH,370.04001,1434,530637.3743
26710,20121105,L,42.17,393602,16598196.34
26825,20121105,K,53.99,357735,19314112.65
27043,20121105,VAR,70.4,110715,7794336
27422,20121105,CLF,37.13,142496,5290876.48
27633,20121105,R,45.31,51112,2315884.72
27828,20121105,HPQ,14.01,1966161,27545915.61
27887,20121105,BAX,65.24,547231,35701350.44
27959,20121105,DUK,64.06,704125,45106247.5
27983,20121105,XRX,6.59,1272547,8386084.73
27991,20121105,PNW,51.8,109544,5674379.2
28222,20121105,APD,78.75,211706,16671847.5
28345,20121105,MUR,59.83,194257,11622396.31
28388,20121105,VNO,79.88,185815,14842902.2
28484,20121105,HES,54.9,341512,18749008.8
28804,20121105,ALK,40.13,70165,2815721.45
29102,20121105,NBR,13.88,290386,4030557.68
30681,20121105,OMC,48.26,264181,12749375.06
30940,20121105,FLS,139.84,49984,6989762.56
32707,20121105,HP,48.74,105693,5151476.82
32803,20121105,HFC,38.92,203554,7922321.68
32870,20121105,HRL,29.87,262880,7852225.6
32986,20121105,ATO,35.28,90173,3181303.44
34032,20121105,MAS,16.16,357100,5770736
34746,20121105,FITB,14.32,897467,12851727.44
34817,20121105,NUE,40.95,317458,12999905.1
34833,20121105,OXY,77.83,809300,62987819
35044,20121105,RF,6.58,1413343,9299796.94
35554,20121105,MTB,103.22,127461,13156524.42
36003,20121105,ROL,23.25,146038,3395383.5
36397,20121105,FHN,9.22,247134,2278575.48
36468,20121105,SHW,144,103107,14847408
37284,20121105,TSO,36.93,139796,5162666.28
37584,20121105,BEN,131.05,212200,27808810
38093,20121105,AJG,36.03,124387,4481663.61
38156,20121105,WMB,33.21,627327,20833529.67
38682,20121105,RRD,9.929,180300,1790198.7
38703,20121105,WFC,34.02,5289600,179952192
38762,20121105,NI,24.79,284906,7062819.74
39490,20121105,APA,80.95,391215,31668854.25
39538,20121105,MAT,36.48,343133,12517491.84
39642,20121105,BDX,76.59,199555,15283917.45
39917,20121105,WY,27.64,540672,14944174.08
40125,20121105,CSC,31.46,155392,4888632.32
40272,20121105,IFF,65.32,81476,5322012.32
40416,20121105,AVP,15.11,432068,6528547.48
40539,20121105,TJX,41.99,736100,30908839
41080,20121105,CMI,101,190066,19196666
41355,20121105,PH,79.96,149233,11932670.68
42200,20121105,PKI,31.48,114071,3590955.08
42585,20121105,SJM,84.86,109454,9288266.44
42877,20121105,JBHT,58.83,118258,6957118.14
42906,20121105,HBAN,6.37,855485,5449439.45
43123,20121105,ATI,27.7,107174,2968719.8
43350,20121105,SWK,70.44,168132,11843218.08
43449,20121105,MCD,87.46,1008431,88197375.26
43553,20121105,VFC,158.69,109937,17445902.53
43772,20121105,BMS,33.51,103281,3460946.31
44206,20121105,NU,39.03,313842,12249253.26
44329,20121105,TFX,68.91,40931,2820555.21
44601,20121105,AVY,33.71,101464,3420351.44
44644,20121105,ADP,56.4,485474,27380733.6
44951,20121105,SVU,3.11,213514,664028.54
45356,20121105,TYC,27.76,462000,12825120
45495,20121105,RDC,32.58,124196,4046305.68
45751,20121105,MMC,34.25,544196,18638713
45911,20121105,SWKS,20.845,194321,4050621.245
46392,20121105,ITG,8.02,38379,307799.58
46578,20121105,CLX,72.92,130255,9498194.6
46674,20121105,GPC,63.12,155101,9789975.12
46703,20121105,HST,14.44,724750,10465390
46877,20121105,BCR,96.9,82312,7976032.8
46886,20121105,KLAC,48.2346,166516,8031832.654
47896,20121105,JPM,42.27,3798754,160573331.6
47941,20121105,GCI,17.04,229787,3915570.48
48486,20121105,LRCX,36.84,171342,6312239.28
48506,20121105,MCO,46.6,222900,10387140
48653,20121105,HUM,75.52,161712,12212490.24
48725,20121105,UNP,123.74,470397,58206924.78
49015,20121105,LNC,25.34,279174,7074269.16
49154,20121105,TGT,63.4,654885,41519709
49373,20121105,HRB,18.07,271110,4898957.7
49656,20121105,BK,25.11,1168607,29343721.77
49680,20121105,DHR,52.2,692688,36158313.6
50017,20121105,RRC,66.54,162629,10821333.66
50286,20121105,LEE,1.48,52291,77390.68
50876,20121105,LLY,48.78,1160453,56606897.34
51369,20121105,TER,15.68,187592,2941442.56
51692,20121105,PIR,20.9,106281,2221272.9
52038,20121105,SYY,30.78,587019,18068444.82
52090,20121105,MKC,61.34,120116,7367915.44
52230,20121105,RHI,27.52,141803,3902418.56
52329,20121105,JEC,39.72,129741,5153312.52
52337,20121105,THC,25.92,104186,2700501.12
52476,20121105,EFX,49.96,119598,5975116.08
52695,20121105,GWW,202.49001,69495,14072043.24
52708,20121105,LEN,38.62,159581,6163018.22
52978,20121105,HAS,36.17,129927,4699459.59
53065,20121105,IPG,10.06,431388,4339763.28
53225,20121105,WPO,348.60999,6225,2170097.188
53613,20121105,MU,5.84,1017561,5942556.24
54148,20121105,PHM,17.84,386318,6891913.12
55976,20121105,WMT,73.14,3361444,245856014.2
56274,20121105,CAG,28.08,407532,11443498.56
56573,20121105,ITW,62.33,463449,28886776.17
57568,20121105,BLL,43.21,154731,6685926.51
57665,20121105,NKE,95.26,360660,34356471.6
57817,20121105,JWN,57.62,200996,11581389.52
57904,20121105,AFL,51.19,468724,23993981.56
58246,20121105,NTRS,48.61,239799,11656629.39
58413,20121105,FRT,105.71,64112,6777279.52
58683,20121105,LUV,9.04,737979,6671330.16
58819,20121105,LNT,43.5,110976,4827456
59010,20121105,GPS,35.37,480935,17010670.95
59176,20121105,AXP,56.36,1119062,63070334.32
59248,20121105,TAP,42.94,175713,7545116.22
59300,20121105,UDR,24.64,250137,6163375.68
59328,20121105,INTC,21.8391,4976000,108671361.6
59408,20121105,BAC,9.75,10777267,105078353.3
59459,20121105,TRV,69.11,381449,26361940.39
60097,20121105,MDT,42.2,1020139,43049865.8
60206,20121105,SNA,79.41,58231,4624123.71
60442,20121105,PNC,58.73,529000,31068170
60506,20121105,PCAR,45.05,353031,15904046.55
60599,20121105,CTL,38.43,622650,23928439.5
60628,20121105,FDX,92.84,314090,29160115.6
60871,20121105,ADI,40.77,301389,12287629.53
60943,20121105,LEG,27.24,141000,3840840
60986,20121105,NWL,21.11,288800,6096568
61241,20121105,AMD,2.11,707555,1492941.05
61399,20121105,LOW,33.06,1140565,37707078.9
61621,20121105,PAYX,32.75,363456,11903184
61735,20121105,AON,55.08,318667,17552178.36
61815,20121105,NBL,95.68,177891,17020610.88
62092,20121105,TMO,61.93,365552,22638635.36
62148,20121105,CSX,20.71,1031378,21359838.38
62308,20121105,TMK,50.64,95399,4831005.36
63765,20121105,SWN,35.68,349110,12456244.8
64186,20121105,CI,53.3,288363,15369747.9
64282,20121105,LTD,48.33,287414,13890718.62
64311,20121105,NSC,60.99,316043,19275462.57
64390,20121105,PGR,22.19,604700,13418293
64653,20121105,PSA,140.03999,171565,24025960.88
64936,20121105,D,50.93,574610,29264887.3
64995,20121105,KEY,8.46,936195,7920209.7
65330,20121105,LM,25.14,135057,3395332.98
65402,20121105,AOS,60.54,39560,2394962.4
65541,20121105,COO,97.53,47893,4671004.29
65875,20121105,VZ,44.2,2854000,126146800
66093,20121105,T,34.83,5707000,198774810
66157,20121105,USB,33.14,1880000,62303200
66181,20121105,HD,62.38,1507442,94034231.96
66325,20121105,SLM,17.68,462159,8170971.12
66384,20121105,WDC,35.56,243602,8662487.12
66800,20121105,AIG,32.8,1476273,48421754.4
67029,20121105,ITI,1.63,33603,54772.89
67467,20121105,BIG,30.53,59564,1818488.92
67598,20121105,HCP,43.49,452066,19660350.34
