PERMNO,betav,year,TICKER
10104,1.01338,2012,ORCL
10107,0.89354,2012,MSFT
10138,0.91767,2012,TROW
10299,1.04435,2012,LLTC
10696,0.68446,2012,FISV
10909,0.81542,2012,CERN
11403,1.36872,2012,CDNS
11481,1.43398,2012,EBIX
11552,0.89132,2012,CELG
11600,0.95815,2012,XRAY
11618,0.7595,2012,FAST
11786,1.01767,2012,SIVB
11896,1.12577,2012,MXIM
12073,0.65204,2012,PBCT
12308,0.87738,2012,CHTR
13168,0.95203,2012,TRIP
13407,0.17452,2012,FB
14008,0.61172,2012,AMGN
14593,1.27749,2012,AAPL
14702,1.20938,2012,AMAT
15579,1.10378,2012,TXN
23473,0.64493,2012,CINF
23660,0.73283,2012,CTAS
23887,0.42815,2012,FTR
25778,0.77906,2012,CA
30648,1.23539,2012,COHU
34746,0.83647,2012,FITB
38682,0.79459,2012,RRD
39538,0.86347,2012,MAT
42877,0.65873,2012,JBHT
42906,1.15911,2012,HBAN
44644,0.67555,2012,ADP
45911,1.82845,2012,SWKS
46886,1.09087,2012,KLAC
48486,1.10424,2012,LRCX
52978,0.7759,2012,HAS
53613,1.86643,2012,MU
58246,0.87641,2012,NTRS
59328,0.90371,2012,INTC
60506,1.15895,2012,PCAR
60871,0.94419,2012,ADI
61621,0.66805,2012,PAYX
66325,0.82706,2012,SLM
66384,1.22275,2012,WDC
69550,0.87201,2012,MYL
75107,1.07735,2012,ABMD
75489,1.03053,2012,SPLS
75510,1.11532,2012,ADBE
75607,1.03384,2012,SYMC
75828,1.26691,2012,EA
76076,1.07279,2012,CSCO
76095,1.09381,2012,HOLX
76201,1.05802,2012,XLNX
76614,1.60497,2012,REGN
76709,0.89988,2012,IDXX
76744,0.49048,2012,VRTX
76795,0.67914,2012,ZBRA
76841,0.81015,2012,BIIB
77037,0.85063,2012,ODFL
77178,1.05766,2012,QCOM
77182,0.54033,2012,PRGO
77274,0.92745,2012,GILD
77281,1.00787,2012,WFM
77357,0.85854,2012,SNPS
77659,0.98776,2012,BBBY
77668,0.84558,2012,ESRX
77702,0.79531,2012,SBUX
78034,0.75595,2012,PDCO
78975,0.93234,2012,INTU
78987,0.99034,2012,MCHP
79089,1.98125,2012,FOSL
79103,0.5737,2012,ORLY
79265,0.8743,2012,FLIR
79678,0.79074,2012,ATVI
79879,2.00288,2012,JDSU
79881,1.20772,2012,URBN
79906,1.52207,2012,INCY
80286,0.95704,2012,TSCO
80320,0.66669,2012,CPRT
80539,1.48632,2012,NKTR
81138,0.83281,2012,APOL
81481,0.60986,2012,DLTR
81696,0.76894,2012,DISH
82107,0.6508,2012,WABC
82581,0.7734,2012,HSIC
82598,1.06027,2012,NTAP
82686,1.75547,2012,CTXS
83111,1.0577,2012,ALXN
83435,0.49968,2012,YHOO
83621,1.11072,2012,ANSS
83862,1.80624,2012,ETFC
83906,0.51885,2012,SRCL
84129,1.43038,2012,ZION
84761,1.45507,2012,TTWO
84788,1.07258,2012,AMZN
85035,1.34468,2012,RFMD
85459,0.62411,2012,CHRW
85631,1.72945,2012,ADSK
85675,0.81966,2012,AMSG
85753,0.58711,2012,VRSN
86158,1.3061,2012,CTSH
86356,0.95592,2012,EBAY
86580,1.14708,2012,NVDA
86725,1.0365,2012,LIFE
86783,1.23882,2012,PCLN
86964,1.54447,2012,FFIV
86996,0.44059,2012,SBAC
87055,0.58452,2012,COST
87299,1.17192,2012,AKAM
87717,0.83561,2012,EXPD
88031,1.01139,2012,MNST
88352,1.13517,2012,ISRG
88436,0.83895,2012,ENDP
88446,0.79808,2012,ILMN
88664,0.64146,2012,JKHY
88837,0.90083,2012,GRMN
88860,1.75444,2012,ALGN
89006,0.54051,2012,MDLZ
89393,1.32489,2012,NFLX
89525,0.88885,2012,CMCSA
89533,1.25191,2012,WYNN
89617,1.41008,2012,EQIX
89626,0.85595,2012,CME
89641,1.13944,2012,STX
89757,1.96124,2012,SHLD
89866,0.96546,2012,LKQ
90319,0.71379,2012,GOOG
90441,0.98832,2012,NWSA
90442,0.98697,2012,NWS
90454,0.50584,2012,MKTX
90601,0.82607,2012,NDAQ
90805,1.05924,2012,DISCA
90808,1.27535,2012,EXPE
91063,0.76463,2012,VIAB
91391,0.77622,2012,WIN
91556,0.61454,2012,ROST
91611,1.61926,2012,FSLR
91668,1.94175,2012,IPGP
92322,1.07917,2012,ULTA
92778,1.07638,2012,DISCK
93002,1.49839,2012,AVGO
93089,0.63565,2012,VRSK
93132,1.67054,2012,FTNT
93429,0.55834,2012,CBOE
10145,1.19293,2012,HON
10516,0.98637,2012,ADM
11308,0.563,2012,KO
11404,0.28741,2012,ED
11674,0.50303,2012,DTE
11703,1.09532,2012,DD
11762,1.49549,2012,ETN
11850,0.90387,2012,XOM
11891,1.85555,2012,MGM
11955,0.70508,2012,WM
12052,1.10324,2012,GD
12060,1.02684,2012,GE
12062,0.60787,2012,LH
12076,1.38236,2012,SIG
12345,2.0886,2012,LYB
12369,1.71499,2012,GM
12431,1.35827,2012,IR
12448,0.88558,2012,FRC
12449,0.99882,2012,FLT
12490,0.79574,2012,IBM
12542,0.85259,2012,NLSN
12558,0.80982,2012,KMI
12570,1.29472,2012,ITT
12622,1.41682,2012,HCA
12623,0.69438,2012,HII
12650,1.34796,2012,KSU
12872,1.5342,2012,MPC
12981,1.92024,2012,FBHS
13035,1.39514,2012,XYL
13103,1.29786,2012,DLPH
13141,1.2982,2012,WPX
13142,1.51378,2012,KORS
13356,1.47333,2012,PSX
13447,1.20354,2012,NOW
13688,0.47804,2012,PCG
13856,0.38908,2012,PEP
13901,0.40386,2012,MO
13928,0.94179,2012,COP
13936,1.71973,2012,PVH
14277,1.49625,2012,SLB
14541,1.08109,2012,CVX
15069,1.61366,2012,MRO
15202,1.5122,2012,VMC
15456,1.16466,2012,FL
15720,0.42006,2012,EIX
16432,1.48516,2012,GT
16600,0.41786,2012,HSY
16678,0.62792,2012,KR
17005,0.66282,2012,CVS
17144,0.34013,2012,GIS
17478,0.96261,2012,MHP
17743,0.4381,2012,WRB
17750,0.42986,2012,KMB
17830,1.16798,2012,UTX
18163,0.51324,2012,PG
18403,1.62335,2012,JCP
18411,0.28044,2012,SO
18542,1.66869,2012,CAT
18729,0.50372,2012,CL
19166,1.44736,2012,FMC
19350,1.21185,2012,DE
19393,0.52075,2012,BMY
19502,0.66391,2012,WAG
19561,0.91348,2012,BA
20415,1.69593,2012,LUK
