stock_ticker,stock_price_change,directed_dollars_to_pres,directed_dollars_to_senate,directed_dollars,donated_dollars,total_money_lost,total_money_won,democrat_dollars,republican_dollars,beta
IT,5.941952506596309,-12603.0,7353.0,-6898.0,34954.0,20926.0,14028.0,23589.0,11365.0,0.86257
ITW,3.573565871591015,-2103.0,5936.0,-1752.0,41558.0,21655.0,19903.0,12140.0,29418.0,1.1611
JCI,1.9534883720930338,-36463.0,105389.0,338470.0,518966.0,90248.0,428718.0,149175.0,369791.0,1.18789
JNJ,3.2881181318681314,-156570.0,75799.0,231302.0,736468.0,252583.0,483885.0,411138.0,325330.0,0.34705
JNPR,-1.0180109631949819,-14797.0,12517.0,-4190.0,40612.0,22401.0,18211.0,36139.0,4473.0,1.23624
JPM,5.093256814921077,-662017.0,273718.0,376891.0,2287585.0,955347.0,1332238.0,1165764.0,1121821.0,1.48415
K,0.17391304347825098,-7678.0,14972.0,54477.0,81547.0,13535.0,68012.0,30627.0,50920.0,0.49322
KEY,5.544005544005557,-22911.0,20778.0,46749.0,106845.0,30048.0,76797.0,23366.0,83479.0,1.64152
KHC,-1.495999072248651,-7690.0,9469.0,62091.0,97677.0,17793.0,79884.0,33377.0,64300.0,0.57617
KIM,0.15723270440250303,-16160.0,19701.0,23741.0,87341.0,31800.0,55541.0,49901.0,37440.0,0.80278
KLAC,-0.23787498348090708,-21369.0,6113.0,-12691.0,37895.0,25293.0,12602.0,32489.0,5406.0,0.80777
KMB,1.2461605967529579,-2919.0,3046.0,-1300.0,12484.0,6892.0,5592.0,6518.0,5966.0,0.3971
KMX,1.4225606090963794,-1963.0,1332.0,-3881.0,7137.0,5509.0,1628.0,6735.0,402.0,1.56362
KO,-0.2360160490913188,-195735.0,125025.0,404369.0,973263.0,284447.0,688816.0,436368.0,536895.0,0.41295
KR,3.6597110754414075,-32811.0,33849.0,23805.0,167915.0,72055.0,95860.0,68915.0,99000.0,0.38025
KSS,4.076520154862237,-8146.0,8654.0,-883.0,21389.0,11136.0,10253.0,16978.0,4411.0,1.55671
KSU,-9.749425538899217,-11325.0,35949.0,55895.0,86545.0,15325.0,71220.0,10142.0,76403.0,0.99794
L,3.131723643318196,-28088.0,110412.0,219761.0,428263.0,104251.0,324012.0,165823.0,262440.0,1.09286
LB,1.295139417949116,-41101.0,52392.0,163151.0,323733.0,80291.0,243442.0,61782.0,261951.0,1.0409
LEG,2.496714848883059,-81.0,27566.0,66625.0,68829.0,1102.0,67727.0,1121.0,67708.0,1.04984
LEN,-1.0528893241919803,-32564.0,19122.0,-15288.0,84628.0,49958.0,34670.0,39674.0,44954.0,1.37573
LKQ,1.3902053712480296,-525.0,7227.0,19939.0,40233.0,10147.0,30086.0,10158.0,30075.0,1.36767
LM,3.5051546391752453,-15349.0,10270.0,-3154.0,54344.0,28749.0,25595.0,27169.0,27175.0,2.25367
LMT,6.050209205020934,-151004.0,368423.0,2476043.0,3326163.0,425060.0,2901103.0,1334187.0,1991976.0,0.35451
LNC,10.638707195075028,-162.0,40000.0,126838.0,148162.0,10662.0,137500.0,46162.0,102000.0,2.33402
LNT,-3.2842879663688933,-17287.0,13925.0,66688.0,132852.0,33082.0,99770.0,33382.0,99470.0,0.01557
LRCX,-0.5075626839914662,-10075.0,5142.0,-2184.0,21812.0,11998.0,9814.0,19368.0,2444.0,1.40393
LUV,1.924464758239111,-33231.0,36915.0,155223.0,341897.0,93337.0,248560.0,107636.0,234261.0,1.43434
LVS,1.49583545809962,-3498.0,117248.0,107650.0,405326.0,148838.0,256488.0,3286.0,402040.0,1.56201
LYB,2.598554949930289,-3433.0,12775.0,53274.0,86766.0,16746.0,70020.0,18961.0,67805.0,1.5654
LYV,-2.442428471737614,-35846.0,-324.0,1580.0,94232.0,46326.0,47906.0,88115.0,6117.0,1.2604
M,1.7767170511800572,-60072.0,18138.0,-43892.0,99642.0,71767.0,27875.0,68385.0,31257.0,1.06064
MA,0.42557215812371396,-48605.0,124227.0,238608.0,405948.0,83670.0,322278.0,208622.0,197326.0,0.98238
MAC,-1.4262843836413737,-19633.0,16500.0,35267.0,91533.0,28133.0,63400.0,25933.0,65600.0,0.78182
MAS,2.281746031746053,-12448.0,3677.0,-2271.0,23125.0,12698.0,10427.0,10875.0,12250.0,1.38941
MAT,1.882505679974031,-11594.0,7554.0,15965.0,41153.0,12594.0,28559.0,24783.0,16370.0,0.92525
MCD,1.7432085656136564,-24535.0,76164.0,391355.0,605713.0,107179.0,498534.0,218370.0,387343.0,0.5073
MCHP,-1.41039399049518,-4814.0,1962.0,-3543.0,14945.0,9244.0,5701.0,8525.0,6420.0,1.18815
MCO,1.1250627825213542,-37391.0,-4603.0,-48234.0,62452.0,55343.0,7109.0,58262.0,4190.0,1.71451
MDLZ,-2.00400801603206,-15430.0,13853.0,12640.0,79234.0,33297.0,45937.0,35234.0,44000.0,0.97736
MGM,3.812316715542522,-20528.0,60050.0,71707.0,353163.0,140728.0,212435.0,218843.0,134320.0,1.84778
MHK,2.0379733773604443,-4890.0,6284.0,4144.0,14584.0,5220.0,9364.0,3223.0,11361.0,1.52961
MKC,0.3289473684210691,-3254.0,-400.0,-3954.0,10594.0,7274.0,3320.0,8400.0,2194.0,0.49872
MKTX,5.48868245453356,0.0,2500.0,10000.0,10000.0,0,10000.0,2000.0,8000.0,0.96947
MLM,13.678317445907084,-50.0,7390.0,7466.0,8066.0,300.0,7766.0,250.0,7816.0,1.12673
MMC,2.8751537515375105,-77735.0,69592.0,185950.0,468528.0,141289.0,327239.0,221421.0,247107.0,0.69649
MNK,16.85578330893118,-4048.0,37983.0,91160.0,112536.0,10688.0,101848.0,26731.0,85805.0,1.21552
MO,-1.914535150865376,-32175.0,187205.0,885046.0,1222422.0,168688.0,1053734.0,222787.0,999635.0,0.12326
MON,-0.38260169150221657,-11756.0,70021.0,342645.0,507645.0,82500.0,425145.0,115401.0,392244.0,0.77949
MPC,2.4453327063249475,-14887.0,205431.0,835945.0,1038201.0,101128.0,937073.0,46869.0,991332.0,1.71761
MRK,7.288532263457043,-88319.0,156133.0,396392.0,747954.0,175781.0,572173.0,339827.0,408127.0,0.63045
MRO,6.0584461867426995,-25808.0,58277.0,126547.0,241747.0,57600.0,184147.0,33436.0,208311.0,3.4892
MS,8.015380065069493,-585282.0,224900.0,303934.0,2252668.0,974367.0,1278301.0,985492.0,1267176.0,2.11324
MSFT,-0.6275805119735622,-867364.0,498326.0,534714.0,2711424.0,1088355.0,1623069.0,1864039.0,847385.0,1.0628
MSI,1.451882307593479,-21718.0,53249.0,205468.0,297068.0,45800.0,251268.0,100487.0,196581.0,1.20948
MTB,5.816104899042713,-18586.0,31217.0,46271.0,178205.0,65967.0,112238.0,139415.0,38790.0,1.3091
MTD,-0.731627755254209,-210.0,-10.0,-220.0,220.0,220.0,0.0,10.0,210.0,1.06647
MU,-0.5780346820809257,-5125.0,35183.0,152558.0,190818.0,19130.0,171688.0,78358.0,112460.0,2.18721
MUR,5.946969696969703,-2004.0,48125.0,98921.0,117479.0,9279.0,108200.0,8279.0,109200.0,3.12553
NAVI,17.77445855115758,-6503.0,30983.0,122380.0,161174.0,19397.0,141777.0,52718.0,108456.0,1.702
NBL,0.804721030042927,-7838.0,15388.0,48019.0,87809.0,19895.0,67914.0,27378.0,60431.0,1.62563
NBR,6.287170773152084,1200.0,1228.0,2228.0,2628.0,200.0,2428.0,228.0,2400.0,3.68599
NE,3.617021276595736,-2700.0,50.0,-2650.0,2750.0,2700.0,50.0,50.0,2700.0,3.19035
NEE,-5.789431481036004,-114317.0,344474.0,516213.0,1050623.0,267205.0,783418.0,265418.0,785205.0,-0.10845
NEM,1.2575177692728374,-1000.0,12379.0,28879.0,51379.0,11250.0,40129.0,16379.0,35000.0,0.40578
NFLX,-1.554946825652607,-97316.0,24296.0,-42389.0,165905.0,104147.0,61758.0,151380.0,14525.0,0.93171
NFX,2.0531718873387774,-2861.0,46266.0,97105.0,163327.0,33111.0,130216.0,1779.0,161548.0,2.1178
NKE,0.039138943248516966,-117243.0,134183.0,206102.0,454474.0,124186.0,330288.0,289227.0,165247.0,1.02159
NKTR,6.918238993710688,-1850.0,0.0,-1850.0,1850.0,1850.0,0.0,1850.0,0,1.48793
NOV,2.7760449157829186,-8040.0,1258.0,-7382.0,17940.0,12661.0,5279.0,12196.0,5744.0,2.0423
NRG,4.882301656495187,-26243.0,3043.0,1465.0,116527.0,57531.0,58996.0,76009.0,40518.0,2.18327
NSC,4.494976203067154,-22201.0,136878.0,594666.0,841508.0,123421.0,718087.0,305578.0,535930.0,1.13545
