PERMNO,betav,year,TICKER
10107,1.04945,2018,MSFT
10138,1.08652,2018,TROW
10696,0.74903,2018,FISV
10909,0.89753,2018,CERN
11403,0.8741,2018,CDNS
11481,0.73846,2018,EBIX
11552,1.17029,2018,CELG
11600,0.47821,2018,XRAY
11618,0.83082,2018,FAST
11786,1.17283,2018,SIVB
11896,0.96631,2018,MXIM
12073,0.51312,2018,PBCT
12308,0.68933,2018,CHTR
13168,1.23457,2018,TRIP
13407,1.19811,2018,FB
13641,1.02489,2018,FANG
13856,0.36422,2018,PEP
13949,1.04273,2018,CDW
13963,0.9094,2018,NWSA
13964,0.85651,2018,NWS
14008,0.90769,2018,AMGN
14542,1.2258,2018,GOOG
14593,1.14186,2018,AAPL
14601,0.75684,2018,NAVI
14702,1.39116,2018,AMAT
14704,0.81713,2018,INFO
15378,1.46741,2018,LIFE
15408,0.59582,2018,KHC
15432,0.39912,2018,ALPN
15488,1.31283,2018,PYPL
15579,0.97204,2018,TXN
16432,0.553,2018,GT
19502,0.89467,2018,WBA
21020,1.07646,2018,AAL
23473,0.48121,2018,CINF
23660,0.91947,2018,CTAS
23887,1.7003,2018,FTR
23931,0.02152,2018,XEL
30648,1.27015,2018,COHU
34746,0.5188,2018,FITB
39538,0.76364,2018,MAT
42877,0.63805,2018,JBHT
42906,0.51291,2018,HBAN
44644,0.94296,2018,ADP
45911,1.05658,2018,SWKS
46886,1.17715,2018,KLAC
48486,1.2963,2018,LRCX
52978,0.4941,2018,HAS
53613,1.66785,2018,MU
58246,0.87936,2018,NTRS
59328,0.96606,2018,INTC
60506,0.84233,2018,PCAR
60871,0.98154,2018,ADI
61241,2.09501,2018,AMD
61621,0.78661,2018,PAYX
62148,1.01083,2018,CSX
66325,0.57925,2018,SLM
66384,1.09782,2018,WDC
67029,1.45005,2018,ITI
69550,1.06313,2018,MYL
75107,1.84702,2018,ABMD
75510,1.32544,2018,ADBE
75607,0.9054,2018,SYMC
75828,0.93604,2018,EA
76076,1.02788,2018,CSCO
76095,0.85185,2018,HOLX
76201,1.02401,2018,XLNX
76614,0.8585,2018,REGN
76709,1.04831,2018,IDXX
76744,1.14963,2018,VRTX
76795,1.47241,2018,ZBRA
76841,1.03531,2018,BIIB
77037,0.98103,2018,ODFL
77178,0.85217,2018,QCOM
77274,0.78235,2018,GILD
77357,0.93057,2018,SNPS
77659,0.57587,2018,BBBY
77702,0.52731,2018,SBUX
78034,0.66464,2018,PDCO
78975,1.18571,2018,INTU
78987,1.17492,2018,MCHP
79089,1.56483,2018,FOSL
79103,0.57567,2018,ORLY
79265,0.77602,2018,FLIR
79678,1.17122,2018,ATVI
79879,0.59662,2018,VIAV
79881,0.51705,2018,URBN
79906,1.23469,2018,INCY
80286,0.777,2018,TSCO
80320,0.82589,2018,CPRT
80539,0.89592,2018,NKTR
81481,0.31187,2018,DLTR
81593,1.37087,2018,COOP
81696,1.22757,2018,DISH
82107,0.55635,2018,WABC
82581,0.5136,2018,HSIC
82598,1.17306,2018,NTAP
82686,0.72726,2018,CTXS
83111,1.42853,2018,ALXN
83382,0.54372,2018,TCX
83621,1.22053,2018,ANSS
83862,0.96223,2018,ETFC
83906,0.76483,2018,SRCL
84129,0.56496,2018,ZION
84761,1.23972,2018,TTWO
84788,1.41999,2018,AMZN
85035,1.04225,2018,QRVO
85459,0.7186,2018,CHRW
85631,1.56065,2018,ADSK
85753,0.97942,2018,VRSN
85913,0.65826,2018,MAR
86158,0.80551,2018,CTSH
86356,0.91455,2018,EBAY
86580,1.68484,2018,NVDA
86783,0.98683,2018,BKNG
86964,0.95053,2018,FFIV
86996,0.42244,2018,SBAC
87055,0.76563,2018,COST
87299,1.10641,2018,AKAM
87717,0.85453,2018,EXPD
88031,0.65,2018,MNST
88352,1.4255,2018,ISRG
88436,1.1903,2018,ENDP
88446,1.64239,2018,ILMN
88664,0.76507,2018,JKHY
88837,0.71748,2018,GRMN
88860,1.88698,2018,ALGN
89006,0.51185,2018,MDLZ
89017,0.61221,2018,WLTW
89195,0.72114,2018,PFG
89393,1.77114,2018,NFLX
89525,0.63605,2018,CMCSA
89533,0.93025,2018,WYNN
