candidate_last,candidate_first,donation_amount,candidate_won_lost,stock_ticker,stock_price_change,year,opening_price,closing_price,party,chamber,is_democrat,is_senate,is_president
Obama, Barack, 48732.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, PRES,1,0,1
 Pastor, Ed, 22000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Shuster, Bill, 15000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Durbin, Dick, 13750.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, SENATE,1,1,0
 Cantor, Eric, 13000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Mica, John L, 12500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Rahall, Nick, 12500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Marchant, Kenny, 11950.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 McConnell, Mitch, 10500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, SENATE,0,1,0
 Boehner, John, 10000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Hoyer, Steny H, 10000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Johnson, Eddie Bernice, 9000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Meeks, Gregory W, 9000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Granger, Kay, 8500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Barton, Joe, 8500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Williams, Roger, 8050.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Latham, Tom, 8000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Meehan, Patrick, 7500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Diaz-Balart, Mario, 7000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Sessions, Pete, 6500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Carter, John, 6500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Petri, Tom, 6500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Graves, Sam, 6500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Nunes, Devin, 6000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Johnson, Sam, 6000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Schweikert, David, 5500.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Hahn, Janice, 5250.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Duncan, John J Jr, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Calvert, Ken, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Burgess, Michael, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Ros-Lehtinen, Ileana, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Brady, Robert A, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Farenthold, Blake, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Ellison, Keith, 5000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 DeFazio, Peter, 4000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, D, HOUSE,1,0,0
 Thornberry, Mac, 4000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Hanna, Richard, 4000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Long, Billy, 4000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
 Lankford, James, 4000.0, 1, AAL, -0.15860428231562196, 2012, 12.61, 12.59, R, HOUSE,0,0,0
